consumption
9.06
8.52
8.46
8.639
8.76
9.0
8.58
8.1
8.46
8.52
8.16
8.34
8.7
8.88
8.34
8.34
8.76
8.639
9.0
9.78
12.719
12.42
11.4
9.12
8.1
6.6
6.48
6.299
6.06
6.18
6.24
6.0
6.359
6.48
7.319
6.84
7.02
7.379
7.08
7.14
7.379
7.86
10.38
11.64
11.94
10.92
11.16
11.519
11.82
11.519
10.44
10.98
11.16
11.82
12.96
12.36
12.719
12.36
12.179
11.88
12.54
13.44
11.94
12.24
11.94
12.66
11.82
13.02
13.02
12.839
13.2
12.839
13.02
12.54
12.96
9.36
7.319
7.68
7.5
7.56
8.34
9.3
8.76
8.94
9.0
9.24
8.88
8.58
8.82
8.639
8.82
8.76
8.46
8.52
8.28
8.94
9.12
9.06
8.82
9.0
8.94
8.76
8.639
8.46
8.52
8.76
8.28
8.4
8.82
9.06
8.58
8.28
8.76
8.82
8.22
9.6
10.679
10.139
8.58
8.34
9.48
7.92
7.8
7.74
7.8
7.259
7.2
7.68
7.56
7.8
8.4
8.34
8.82
9.12
8.52
9.24
9.0
9.3
11.82
15.0
14.58
14.22
14.7
14.759
16.02
14.88
14.28
15.06
15.299
15.299
16.02
15.419
15.6
15.06
15.54
15.72
15.84
16.139
15.54
16.2
16.139
16.5
16.44
16.38
16.44
17.16
17.04
16.8
8.22
8.04
8.34
8.1
8.28
7.74
8.16
8.04
8.88
9.0
9.72
9.3
10.139
9.06
9.42
8.88
8.82
9.42
10.019
10.32
9.3
9.72
9.18
9.78
9.36
9.78
9.24
9.42
9.06
9.06
9.3
9.06
9.3
8.76
9.12
8.52
9.6
9.48
9.24
9.36
9.24
9.3
8.639
9.18
7.8
7.86
7.5
7.379
7.2
6.78
6.66
6.299
6.78
6.6
6.78
6.48
6.54
7.02
6.66
6.96
7.5
7.319
6.72
7.2
6.6
7.319
7.08
7.259
7.86
8.94
8.52
7.8
8.16
7.379
7.379
7.319
8.04
7.56
7.56
7.44
8.22
7.62
8.16
7.92
8.94
7.74
7.259
7.08
7.44
8.1
7.74
7.86
8.34
8.4
8.16
9.3
9.12
8.82
8.34
8.22
7.92
7.98
9.0
9.36
10.019
9.84
10.44
9.3
10.139
9.48
10.019
9.6
9.66
9.24
8.76
9.12
9.06
9.539
9.3
9.78
9.24
8.94
9.0
8.58
9.06
9.06
9.3
8.58
9.12
9.72
8.82
8.58
9.12
9.84
8.76
8.7
9.12
9.36
9.12
9.42
8.94
8.34
7.56
7.319
7.44
6.66
7.02
7.259
6.66
6.299
6.359
7.02
6.299
6.72
6.66
6.48
6.54
7.02
6.48
6.48
6.96
6.66
7.02
6.359
6.54
6.9
6.66
7.2
7.2
7.08
7.2
6.72
6.84
6.6
6.96
6.66
7.259
6.359
6.84
6.359
7.2
7.44
7.379
7.14
6.84
7.5
7.259
7.5
7.92
7.98
7.98
7.86
8.7
7.68
8.16
8.22
8.28
7.379
7.56
7.8
8.7
8.94
8.7
9.18
8.94
9.0
9.06
8.639
8.58
8.88
9.06
9.48
8.82
8.1
8.639
9.06
8.88
9.3
7.14
11.7
9.84
8.639
8.76
8.639
8.82
8.76
8.34
8.58
9.0
8.76
8.4
9.9
11.82
12.3
10.5
10.86
11.22
8.28
9.48
9.48
10.5
10.44
12.12
14.7
17.82
19.02
17.16
15.24
16.32
14.34
17.46
16.2
14.759
15.419
15.6
14.099
14.099
15.36
14.639
13.98
15.12
15.12
14.88
12.179
12.599
13.08
14.22
13.74
14.04
14.4
14.22
14.759
14.34
15.54
14.759
15.24
14.4
14.94
14.7
14.759
14.7
15.419
14.94
16.86
16.86
17.76
17.46
16.08
15.36
15.54
15.0
9.48
8.88
8.88
9.24
9.3
10.74
11.519
10.26
10.019
8.94
9.18
9.48
9.3
9.36
10.019
9.66
9.3
9.539
9.84
10.679
10.26
9.6
9.3
9.12
8.94
9.42
9.84
9.48
8.58
8.76
8.7
8.82
8.52
8.52
9.18
8.34
8.52
8.639
8.88
8.58
10.44
15.12
12.12
10.86
8.82
9.539
9.539
9.42
12.719
13.499
12.9
12.42
12.24
11.34
10.62
11.58
10.139
10.139
9.36
10.08
11.7
15.66
15.96
15.12
16.86
18.6
15.6
15.299
15.36
14.82
13.8
14.04
14.22
13.56
13.68
13.8
14.639
15.18
15.419
15.299
15.36
14.88
16.2
16.619
16.68
16.32
16.56
16.5
16.74
16.38
17.279
18.0
17.4
16.68
16.08
16.2
15.419
15.24
14.94
15.36
14.34
15.0
14.34
13.26
13.499
13.499
13.08
12.66
10.559
9.6
10.139
11.1
10.26
9.84
10.139
10.139
10.26
9.36
9.18
9.36
9.3
9.66
9.06
9.24
9.24
9.12
10.019
9.539
9.42
8.76
8.82
8.82
8.88
9.24
9.6
9.36
10.44
12.3
11.28
9.78
9.66
9.78
10.019
9.72
11.7
16.32
14.28
15.72
17.22
15.48
13.379
14.16
13.08
10.26
11.04
12.0
12.059
12.9
15.12
17.1
16.2
17.16
18.36
17.58
17.52
16.2
16.38
15.96
16.74
17.04
16.74
16.44
16.68
16.86
16.8
16.5
16.92
16.5
16.32
16.74
16.139
16.08
16.68
15.96
16.44
16.2
15.9
15.78
16.02
8.4
8.04
7.92
8.46
9.36
9.06
9.42
9.18
9.9
9.24
9.42
9.48
9.6
9.42
10.08
9.12
9.24
9.24
9.0
9.96
9.24
9.18
9.72
9.539
9.06
9.48
8.88
9.6
8.82
9.12
9.24
9.12
9.18
9.3
9.48
8.88
8.76
8.88
8.88
8.76
10.019
9.48
8.88
10.5
13.86
14.28
12.96
11.82
10.559
